subjectId	otherPartyId	duration	direction	date
0	4	59	Outgoing	2004-10-14 00:36:45.000003
0	17	30	Outgoing	2004-10-14 01:19:04.000001
0	4	92	Incoming	2004-10-15 22:11:05.000004
0	4	18	Incoming	2004-10-15 22:52:56.999998
0	17	25	Outgoing	2004-10-16 01:02:06.000001
0	17	30	Incoming	2004-10-16 05:05:25.000004
0	4	375	Incoming	2004-10-16 05:16:14.000004
0	17	45	Incoming	2004-10-17 02:16:00
0	4	75	Incoming	2004-10-18 03:50:32.000003
0	4	109	Outgoing	2004-10-19 23:57:58.999996
0	4	37	Outgoing	2004-10-20 00:45:22.000005
0	4	42	Outgoing	2004-10-20 14:32:26.999997
0	24	17	Incoming	2004-10-20 19:08:28.000001
0	24	14	Outgoing	2004-10-20 19:10:47.999996
0	24	376	Incoming	2004-10-20 19:25:55.999999
0	24	25	Outgoing	2004-10-20 22:47:37.999998
0	4	7	Incoming	2004-10-21 01:05:54.999996
0	4	10	Outgoing	2004-10-21 02:03:30.999999
0	17	48	Incoming	2004-10-21 02:08:25.000003
0	17	8	Outgoing	2004-10-21 02:11:55.000001
0	4	11	Outgoing	2004-10-21 02:12:47.000001
0	4	33	Incoming	2004-10-21 02:59:03.999995
0	17	23	Outgoing	2004-10-21 21:52:03.999997
0	17	16	Incoming	2004-10-21 23:55:44.000004
0	17	45	Outgoing	2004-10-21 23:55:59.000003
0	17	49	Incoming	2004-10-23 16:37:03.999997
0	8	918	Incoming	2004-10-24 18:03:07.000005
0	17	24	Incoming	2004-10-27 23:40:30.999997
0	17	66	Incoming	2004-10-28 00:17:26.000003
0	17	7	Outgoing	2004-10-28 02:53:42.999996
0	4	16	Outgoing	2004-10-28 02:54:45.999997
0	4	73	Outgoing	2004-10-28 03:00:06.000001
0	17	29	Outgoing	2004-10-28 03:02:12.000002
0	17	9	Outgoing	2004-10-28 03:49:51.000004
0	17	47	Outgoing	2004-10-28 03:59:08.999995
0	17	24	Outgoing	2004-10-30 01:07:34.999996
0	4	7	Outgoing	2004-10-30 13:07:38
0	4	6	Outgoing	2004-10-30 13:24:10.999995
0	17	25	Outgoing	2004-10-30 13:25:24.999996
0	17	55	Incoming	2004-10-30 13:35:15.000005
0	17	0	Outgoing	2004-10-30 14:18:48.000004
0	17	70	Outgoing	2004-10-30 14:19:29.000003
0	4	9	Outgoing	2004-10-30 14:50:36.000005
0	4	250	Outgoing	2004-10-30 20:29:00.999998
0	4	0	Outgoing	2004-10-30 21:21:03.999997
0	4	39	Incoming	2004-10-30 21:45:04.999996
0	4	13	Incoming	2004-10-30 22:32:04.999999
0	4	25	Outgoing	2004-10-31 01:41:19.999996
0	17	46	Outgoing	2004-10-31 01:47:00.999997
0	4	54	Outgoing	2004-10-31 02:24:52.999995
0	4	3	Outgoing	2004-10-31 02:48:42
0	4	4	Outgoing	2004-10-31 02:53:23.999999
0	4	11	Outgoing	2004-10-31 03:12:29.999999
0	4	192	Incoming	2004-10-31 03:26:02
0	17	0	Outgoing	2004-10-31 13:24:56.999997
0	8	219	Incoming	2004-10-31 18:06:26.999996
0	87	32	Outgoing	2004-11-01 17:06:45.000003
0	87	59	Incoming	2004-11-01 17:38:43
0	62	15	Incoming	2004-11-02 21:24:49.000004
0	0	1	Outgoing	2004-11-12 08:20:49.000001
0	17	52	Incoming	2004-11-12 22:01:03
0	4	70	Outgoing	2004-11-12 22:02:41.999996
0	17	9	Outgoing	2004-11-12 22:04:45.000003
0	4	15	Incoming	2004-11-12 22:14:18.999998
0	4	17	Outgoing	2004-11-13 17:52:22.999998
0	9	0	Outgoing	2004-11-16 14:02:38.999999
0	4	0	Outgoing	2004-11-21 15:30:25.000002
0	17	29	Outgoing	2004-11-26 21:05:38.000001
0	17	76	Outgoing	2004-11-26 22:13:47
0	17	12	Incoming	2004-11-26 23:02:42.999998
0	17	4	Incoming	2004-11-26 23:08:03.000002
0	8	0	Outgoing	2004-11-28 17:02:03.999998
0	8	26	Outgoing	2004-11-28 17:03:10.999997
0	8	38	Incoming	2004-11-28 17:06:56.000003
0	17	179	Incoming	2004-11-30 00:29:07.000002
0	17	8	Outgoing	2004-12-01 16:40:49.000004
0	17	10	Outgoing	2004-12-01 17:23:06.999997
0	23	0	Incoming	2004-12-01 20:31:23.000002
0	17	0	Outgoing	2004-12-02 04:41:06.999996
0	8	40	Outgoing	2004-12-03 13:14:27.000005
0	8	45	Outgoing	2004-12-03 21:12:00.999995
0	8	156	Incoming	2004-12-03 23:12:00.000004
0	8	140	Incoming	2004-12-04 11:50:59.000001
0	8	103	Outgoing	2004-12-04 12:59:43.999996
0	8	6	Incoming	2004-12-04 13:26:45.000005
0	4	26	Incoming	2004-12-04 16:15:30.000005
0	17	47	Incoming	2004-12-04 19:54:21.000005
0	17	30	Incoming	2004-12-04 21:26:05.999999
0	17	14	Incoming	2004-12-04 22:10:23
0	4	88	Outgoing	2004-12-06 23:26:28.999998
0	62	0	Outgoing	2004-12-07 12:40:13.000001
0	4	31	Incoming	2004-12-08 15:49:20.000001
0	4	0	Incoming	2004-12-14 01:00:40.999999
0	4	12	Outgoing	2004-12-14 01:01:10.000003
0	8	49	Outgoing	2004-12-14 16:02:24.000003
0	87	79	Outgoing	2004-12-16 15:30:18
0	4	111	Outgoing	2004-12-16 22:34:44.999996
0	4	74	Outgoing	2004-12-17 00:13:38.000002
0	4	36	Incoming	2004-12-17 01:43:27.999996
0	87	20	Outgoing	2004-12-17 14:39:42.999996
0	4	10	Outgoing	2004-12-17 17:48:27
0	17	8	Outgoing	2004-12-17 17:49:06
0	4	128	Outgoing	2004-12-17 18:30:51.000002
0	17	76	Outgoing	2004-12-17 19:25:55.000005
0	4	330	Outgoing	2004-12-18 04:07:41.000004
0	8	72	Outgoing	2004-12-19 18:27:49.000003
0	8	0	Outgoing	2005-01-03 12:50:36.999996
0	8	58	Outgoing	2005-01-03 12:55:10.999998
0	4	43	Incoming	2005-01-05 23:58:07.999997
0	4	0	Incoming	2005-01-06 00:12:24.999996
0	4	0	Incoming	2005-01-06 00:19:28.000005
1	17	42	Outgoing	2004-09-23 21:00:28.999997
1	17	27	Outgoing	2004-09-23 21:22:28.000004
1	17	162	Incoming	2004-09-23 21:38:29.999996
1	46	53	Outgoing	2004-10-08 11:01:06.000001
1	17	31	Incoming	2004-10-19 11:43:41.999997
1	17	103	Incoming	2004-10-20 17:52:18.000005
1	17	41	Outgoing	2004-10-20 20:57:17.000002
1	17	0	Outgoing	2004-10-20 21:52:29.999997
1	17	0	Outgoing	2004-10-20 23:11:18.999995
1	17	8	Outgoing	2004-10-20 23:44:55.000004
1	46	39	Outgoing	2004-10-26 18:49:01.999998
1	46	34	Incoming	2004-10-26 18:49:14.000004
1	17	33	Outgoing	2004-10-31 08:37:21.000002
1	4	19	Outgoing	2004-10-31 08:38:13.999996
1	17	2	Outgoing	2004-11-01 11:27:40.000005
1	17	110	Incoming	2004-11-01 12:00:21
1	17	42	Outgoing	2004-11-01 21:45:35.000005
1	17	158	Outgoing	2004-11-02 17:02:46.999996
1	17	9	Outgoing	2004-11-02 17:58:24.000001
1	17	11	Outgoing	2004-11-02 18:03:26.999997
1	17	62	Incoming	2004-11-02 22:54:27.999997
1	17	24	Outgoing	2004-11-03 12:08:32.999997
1	17	28	Incoming	2004-11-03 12:43:53.999999
1	17	17	Outgoing	2004-11-03 12:58:08.999999
1	17	0	Incoming	2004-11-03 13:14:18.999998
1	17	0	Outgoing	2004-11-03 13:14:22.999996
1	17	77	Incoming	2004-11-03 13:14:42.000004
1	17	4	Incoming	2004-11-03 13:18:08.999997
1	17	0	Outgoing	2004-11-03 22:36:26.999996
1	17	26	Outgoing	2004-11-03 22:48:25.000005
1	4	7	Outgoing	2004-11-03 22:51:38.000004
